TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
1000,00:00:00,0,S,LAUNCH_PAD,0.0,27.2,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:00,5.0,1.3000,103.8000,6,CX
1000,00:00:01,1,S,LAUNCH_PAD,0.0,27.1,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:01,5.0,1.3000,103.8000,6,CX
1000,00:00:02,2,S,LAUNCH_PAD,0.0,26.9,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:02,5.0,1.3000,103.8000,6,CX
1000,00:00:03,3,S,LAUNCH_PAD,0.0,27.2,101.4,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:03,5.0,1.3000,103.8000,6,CX
1000,00:00:04,4,S,LAUNCH_PAD,0.0,27.0,101.4,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:04,5.0,1.3001,103.8001,6,CX
1000,00:00:05,5,S,LANDED,0.0,27.1,101.4,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:05,5.0,1.3001,103.8001,6,CX
1000,00:00:06,6,S,LANDED,0.0,27.2,101.4,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:06,5.0,1.3001,103.8001,6,CX
1000,00:00:07,7,S,LANDED,0.0,26.9,101.2,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:07,5.0,1.3001,103.8001,6,CX
1000,00:00:08,8,S,LANDED,0.0,27.0,101.4,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:08,5.0,1.3001,103.8001,6,CX
1000,00:00:09,9,S,LANDED,0.0,27.0,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:09,5.0,1.3001,103.8001,6,CX
1000,00:00:10,10,S,LANDED,0.0,26.8,101.2,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:10,5.0,1.3001,103.8001,6,CX
1000,00:00:11,11,S,LANDED,0.0,27.0,101.3,7.5,0.12,-0.05,0.01,0.02,0.00,-0.01,0.23,0.01,0.04,15,00:00:11,5.0,1.3001,103.8001,6,CX
